NameTo,NameFrom,To,From,Migrants,PopulationTo,PopulationFrom,Distance
Groot-Rijnmond ,Oost-Zuid-Holland ,29,28,1511,1359640,322858,37.77
Groot-Rijnmond ,Groot-Rijnmond ,29,29,0,1359640,1359640,0
Groot-Rijnmond ,Zuidoost-Zuid-Holland ,29,30,2490,1359640,398963,39.62
Groot-Rijnmond ,Flevoland ,29,40,388,1359640,351680,116
Zuidoost-Zuid-Holland ,Utrecht ,30,17,542,398963,1152218,38.48
Zuidoost-Zuid-Holland ,Kop van Noord-Holland ,30,18,49,398963,361764,115.98
Zuidoost-Zuid-Holland ,Alkmaar en omgeving ,30,19,47,398963,223936,89.9
Zuidoost-Zuid-Holland ,IJmond ,30,20,20,398963,187456,73.53
Zuidoost-Zuid-Holland ,Agglomeratie Haarlem ,30,21,17,398963,217606,60.28
Zuidoost-Zuid-Holland ,Zaanstreek ,30,22,38,398963,154974,69.83
Zuidoost-Zuid-Holland ,Groot-Amsterdam ,30,23,235,398963,1184987,62.3
Zuidoost-Zuid-Holland ,Het Gooi en Vechtstreek ,30,24,50,398963,242397,49.45
Zuidoost-Zuid-Holland ,Aggl. Leiden en Bollenstreek ,30,25,113,398963,387763,45.87
Zuidoost-Zuid-Holland ,Agglomeratie 's-Gravenhage ,30,26,365,398963,759778,41.55
Zuidoost-Zuid-Holland ,Delft en Westland ,30,27,100,398963,210980,43.31
Zuidoost-Zuid-Holland ,Oost-Zuid-Holland ,30,28,203,398963,322858,26.19
Zuidoost-Zuid-Holland ,Groot-Rijnmond ,30,29,3051,398963,1359640,39.62
Zuidoost-Zuid-Holland ,Zuidoost-Zuid-Holland ,30,30,0,398963,398963,0
Zuidoost-Zuid-Holland ,Flevoland ,30,40,126,398963,351680,91.02
Flevoland ,Utrecht ,40,17,1456,351680,1152218,53.17
Flevoland ,Kop van Noord-Holland ,40,18,286,351680,361764,54.49
Flevoland ,Alkmaar en omgeving ,40,19,102,351680,223936,54.46
Flevoland ,IJmond ,40,20,136,351680,187456,59.91
Flevoland ,Agglomeratie Haarlem ,40,21,158,351680,217606,65.77
Flevoland ,Zaanstreek ,40,22,303,351680,154974,51.31
Flevoland ,Groot-Amsterdam ,40,23,5516,351680,1184987,50.51
Flevoland ,Het Gooi en Vechtstreek ,40,24,1085,351680,242397,42.24
Flevoland ,Aggl. Leiden en Bollenstreek ,40,25,181,351680,387763,80.47
Flevoland ,Agglomeratie 's-Gravenhage ,40,26,487,351680,759778,95.78
Flevoland ,Delft en Westland ,40,27,94,351680,210980,107.62
Flevoland ,Oost-Zuid-Holland ,40,28,231,351680,322858,78.33
Flevoland ,Groot-Rijnmond ,40,29,508,351680,1359640,116
Flevoland ,Zuidoost-Zuid-Holland ,40,30,135,351680,398963,91.02
Flevoland ,Flevoland ,40,40,0,351680,351680,0
